status	id	name
U	01242	ice cream sandwich
U	01242	light ice cream sandwich
U	01242	no sugar added ice cream sandwich
U	01242	vanilla ice cream sandwich
U	01243	fat free ice cream
U	01243	flavors other than chocolate fat free ice cream
U	01243	no sugar added fat free ice cream
U	01244	frozen milk dessert bar
U	01244	made from lowfat milk milk dessert bar
U	01244	milk dessert bar
U	01250	liquid nutritional supplement for people with diabetes
U	01250	nutritional supplement for people with diabetes
U	01251	mexican blend cheese
U	01252	american cheese product
U	01252	vitamin d fortified cheese product
U	01253	without added vitamin d cheese
U	01255	frozen egg
U	01255	pasteurized egg
U	01255	raw egg
U	01255	salted egg
U	01255	whole egg
U	01258	dried egg
U	01258	egg
U	01258	glucose reduced egg
U	01258	stabilized egg
U	01258	white egg
U	01259	american or cheddar cheese base cheese spread
U	01259	reduced fat cheese spread
U	01260	reduced fat cheese
U	01263	chocolate ice cream
U	01263	soft serve ice cream
U	01264	stick or nugget ice cream bar
U	01264	with crunch coating ice cream bar
U	01266	nonfat or fat free cheese
U	01267	mexican cheese
U	01267	queso cotija cheese
U	01270	cheddar cheese
U	01270	sharp cheese
U	01270	sliced cheese
U	01271	low moisture cheese
U	01271	part-skim cheese
U	01271	shredded cheese
U	01280	dannon oikos yogurt
U	01281	chobani yogurt
U	01285	strawberry yogurt
U	01289	plain kefir
U	01290	kefir
U	01290	lifeway kefir
U	01290	lowfat kefir
U	01290	strawberry kefir
U	01291	2% fat milk
U	01291	evaporated milk
U	01292	fat free milk
U	01292	with added vitamin a and vitamin d milk
U	01293	plain yogurt
U	01294	fruit yogurt
U	01294	whole milk yogurt
U	01295	non-fat yogurt
U	01297	greek yogurt
U	01297	vanilla yogurt
U	01298	flavors other than chocolate yogurt
U	01298	frozen yogurt
U	01298	lowfat yogurt
U	01300	covered with chocolate and nuts ice cream bar
U	01300	ice cream bar
U	01301	ice cream sundae cone
U	01302	creamsicle light ice cream
U	01303	cream
U	01303	half and half cream
U	01303	lowfat cream
U	01305	chocolate milk
U	01305	lowfat milk
U	01305	reduced sugar milk
U	01306	added peanuts and chocolate sauce ice cream
U	01306	cone ice cream
U	01306	ice cream
U	01306	lowfat ice cream
U	01306	no sugar added ice cream
U	02001	allspice spices
U	02002	anise seed spices
U	02003	basil spices
U	02004	bay leaf spices
U	02005	caraway seed spices
U	02006	cardamom spices
U	02007	celery seed spices
U	02008	chervil spices
U	02009	chili powder spices
U	02010	cinnamon spices
U	02011	cloves spices
U	02012	coriander leaf spices
U	02013	coriander seed spices
U	02014	cumin seed spices
U	02015	curry powder spices
U	02016	dill seed spices
U	02017	dill weed spices
U	02018	fennel seed spices
U	02019	fenugreek seed spices
U	02020	garlic powder spices
U	02021	ginger spices
U	02022	mace spices
U	02023	marjoram spices
U	02024	mustard seed spices
U	02025	nutmeg spices
U	02026	onion powder spices
U	02027	oregano spices
U	02028	paprika spices
U	02029	parsley spices
U	02030	black spices
U	02031	red or cayenne spices
U	02032	pepper spices
U	02032	white spices
U	02033	poppy seed spices
U	02034	poultry seasoning spices
U	02035	pumpkin pie spice spices
U	02036	rosemary spices
U	02037	saffron spices
U	02038	sage spices
U	02039	savory spices
U	02041	tarragon spices
U	02042	dried spices
U	02042	thyme spices
U	02043	ground spices
U	02043	spices
U	02043	turmeric spices
U	02044	basil
U	02044	fresh basil
U	02045	dill weed
U	02045	fresh dill weed
U	02046	mustard
U	02046	prepared mustard
U	02046	yellow mustard
U	02047	salt
U	02047	table salt
U	02048	cider vinegar
U	02049	fresh thyme
U	02049	thyme
U	02051	alcohol vanilla extract
U	02052	imitation vanilla extract
U	02052	no alcohol vanilla extract
U	02052	vanilla extract
U	02053	distilled vinegar
U	02054	canned capers
U	02054	capers
U	02055	horseradish
U	02055	prepared horseradish
U	02063	fresh rosemary
U	02063	rosemary
U	02064	fresh peppermint
U	02064	peppermint
U	02065	fresh spearmint
U	02066	dried spearmint
U	02066	spearmint
U	02068	red wine vinegar
U	02069	balsamic vinegar
U	02069	vinegar
U	02073	dry taco seasoning mix pace
U	02074	coriander & annatto seasoning mix
U	02074	sazon seasoning mix
U	02075	taco seasoning mix
U	02076	chili seasoning mix
U	02076	dry seasoning mix
U	02076	original seasoning mix
U	02076	seasoning mix
U	03000	clif z bar
U	03001	fruit medley babyfood
U	03001	juice treats babyfood
U	03003	beef babyfood
U	03005	veal babyfood
U	03007	pork babyfood
U	03009	ham babyfood
U	03011	lamb babyfood
U	03013	chicken babyfood
U	03014	chicken sticks babyfood
U	03017	turkey sticks babyfood
U	03019	gerber graduate fruit  strips babyfood
U	03019	real fruit bars babyfood
U	03021	meat sticks babyfood
U	03022	2nd foods babyfood
U	03022	carrot and squash babyfood
U	03022	organic babyfood
U	03023	apple and cinnamon finger snacks
U	03023	finger snacks
U	03023	gerber graduate puffs finger snacks
U	03024	bottled babyfood
U	03024	water babyfood
U	03024	without added fluoride. babyfood
U	03025	3rd foods babyfood
U	03025	mango and kiwi babyfood
U	03026	tropical fruit medley babyfood
U	03042	vegetables and dumplings and beef babyfood
U	03043	beef lasagna babyfood
U	03045	macaroni and tomato and beef babyfood
U	03046	cheese filled babyfood
U	03046	ravioli babyfood
U	03046	with tomato sauce babyfood
U	03049	beef and rice babyfood
U	03051	spaghetti and tomato and meat babyfood
U	03052	beef stew babyfood
U	03054	vegetables and beef babyfood
U	03059	vegetables and bacon babyfood
U	03062	vegetables and ham babyfood
U	03067	vegetables and lamb babyfood
U	03069	chicken noodle babyfood
U	03070	chicken soup babyfood
U	03072	chicken stew babyfood
U	03073	vegetables chicken babyfood
U	03076	noodles and chicken babyfood
U	03077	pasta with vegetables babyfood
U	03081	vegetables and noodles and turkey babyfood
U	03083	turkey and rice babyfood
U	03085	vegetables and turkey babyfood
U	03090	macaroni and cheese babyfood
U	03093	green beans babyfood
U	03096	green beans and potatoes babyfood
U	03098	beets babyfood
U	03105	squash babyfood
U	03108	sweet potatoes strained babyfood
U	03109	sweet potatoes babyfood
U	03112	potatoes babyfood
U	03114	butternut squash and corn babyfood
U	03115	apples babyfood
U	03117	applesauce babyfood
U	03120	corn babyfood
U	03122	peas babyfood
U	03127	creamed babyfood
U	03127	spinach babyfood
U	03128	apricot with tapioca babyfood
U	03135	plums with tapioca babyfood
U	03137	prunes with tapioca babyfood
U	03139	prunes babyfood
U	03139	without vitamin c babyfood
U	03140	mango with tapioca babyfood
U	03141	pears babyfood
U	03143	applesauce and apricots babyfood
U	03145	applesauce and cherries babyfood
U	03147	applesauce with banana babyfood
U	03151	applesauce and pineapple babyfood
U	03153	apple and raspberry babyfood
U	03154	apple and sweet potato babyfood
U	03154	fruit and vegetable babyfood
U	03157	bananas and pineapple with tapioca babyfood
U	03159	pears and pineapple babyfood
U	03160	guava and papaya with tapioca babyfood
U	03161	dices babyfood
U	03161	peaches babyfood
U	03162	papaya and applesauce with tapioca babyfood
U	03163	bananas with apples and pears babyfood
U	03165	apple and blueberry babyfood
U	03167	apple-banana juice babyfood
U	03168	apple and peach babyfood
U	03169	apple-cranberry juice babyfood
U	03170	apple and plum babyfood
U	03171	apple and prune babyfood
U	03173	orange and apple babyfood
U	03174	orange and apple and banana babyfood
U	03175	orange and apricot babyfood
U	03176	orange and banana babyfood
U	03177	orange and pineapple babyfood
U	03178	prune and orange babyfood
U	03179	mixed fruit babyfood
U	03184	whole wheat babyfood
U	03184	with apples babyfood
U	03195	with applesauce and bananas babyfood
U	03198	with egg yolks babyfood
U	03199	with eggs babyfood
U	03201	egg yolks and bacon babyfood
U	03205	oatmeal cereal with fruit babyfood
U	03205	toddler fortified babyfood
U	03206	baby babyfood
U	03206	cookie babyfood
U	03209	crackers babyfood
U	03209	vegetable babyfood
U	03214	arrowroot babyfood
U	03214	cookies babyfood
U	03215	pretzels babyfood
U	03216	teething biscuits babyfood
U	03217	zwieback
U	03221	dutch apple babyfood
U	03222	cherry cobbler babyfood
U	03225	cherry vanilla pudding babyfood
U	03226	orange babyfood
U	03228	peach cobbler babyfood
U	03230	peach melba babyfood
U	03233	fruit pudding babyfood
U	03233	pineapple babyfood
U	03236	fruit dessert babyfood
U	03236	without ascorbic acid babyfood
U	03238	tropical fruit babyfood
U	03246	custard pudding babyfood
U	03246	vanilla babyfood
U	03265	apple and grape babyfood
U	03267	fruit punch babyfood
U	03268	apple and cherry babyfood
U	03269	apple babyfood
U	03269	with calcium babyfood
U	03274	vegetables and chicken babyfood
U	03279	mixed vegetable babyfood
U	03280	bananas with tapioca babyfood
U	03282	mix vegetables junior babyfood
U	03283	garden vegetable babyfood
U	03286	mix vegetables strained babyfood
U	03286	vegetables babyfood
U	03287	beef noodle babyfood
U	03289	apples with ham babyfood
U	03290	carrots and beef babyfood
U	03293	bananas and rice babyfood
U	03293	plums babyfood
U	03296	and vegetables babyfood
U	03296	turkey babyfood
U	03297	apples and chicken babyfood
